id,new_item_today,schedule_changed_today,emotion_state_today,routine_destination_tomorrow,special_event_tomorrow,extra_items_needed_tomorrow,time_difference_tomorrow,will_forget
280,False,True,late,True,True,False,True,False
281,False,False,late,False,True,False,False,False
282,False,False,late,False,False,True,True,True
283,True,True,busy,True,False,True,False,False
284,False,True,busy,True,True,True,True,True
285,True,True,late,False,True,True,False,True
286,True,True,late,False,False,True,True,True
287,False,False,late,True,False,True,True,True
288,False,False,calm,False,True,False,True,True
289,True,False,busy,False,True,True,False,False
290,True,True,late,True,False,False,False,False
291,True,True,late,False,True,False,False,True
292,True,False,busy,True,True,False,False,False
293,True,True,busy,True,True,False,False,True
294,True,True,late,False,False,False,False,True
295,False,False,late,True,True,True,True,True
296,True,True,busy,True,True,False,True,False
297,True,True,late,False,False,False,True,True
298,True,False,late,False,False,False,False,True
299,False,False,late,False,False,True,True,True
300,True,False,late,True,False,True,False,True
301,False,False,,False,False,False,False,False
302,False,True,busy,False,False,False,False,
